Fish,Treatment,TechRep,Ct_Actin,Ct_HSP70
1,Control,1,21.5,27.8
1,Control,2,21.4,27.9
1,Control,3,21.6,27.7
2,Control,1,22,28.5
2,Control,2,21.9,28.6
2,Control,3,22.1,28.4
3,Control,1,21.7,27.1
3,Control,2,21.6,27.3
3,Control,3,21.8,27.2
4,Control,1,22.3,29
4,Control,2,22.2,28.8
4,Control,3,22.3,28.9
5,Control,1,21.9,27.5
5,Control,2,22,27.6
5,Control,3,22.1,27.4
6,Exposed,1,21.6,24.5
6,Exposed,2,21.5,24.4
6,Exposed,3,21.7,24.6
7,Exposed,1,22.2,25
7,Exposed,2,22.3,24.9
7,Exposed,3,22.1,25.1
8,Exposed,1,21.8,23.9
8,Exposed,2,21.7,24
8,Exposed,3,21.9,24.1
9,Exposed,1,22.4,25.7
9,Exposed,2,22.3,25.6
9,Exposed,3,22.5,25.8
10,Exposed,1,21.9,24.8
10,Exposed,2,22,24.7
10,Exposed,3,22.1,24.9
