group,dose_ug_per_L,Grp78,Eif2a,Xbp1,Chop
Control,0,0.986,1.11,0.698,0.301
Control,0,0.985,1.322,1.417,0.346
Control,0,1.115,1.031,0.771,0.287
Control,0,0.842,0.987,1.04,0.215
Control,0,1.16,1.006,0.96,0.333
Control,0,1.238,0.972,0.956,0.456
Control,0,1,1.117,1.022,0.375
Control,0,1.18,0.991,0.798,0.252
Control,0,1.008,0.855,1.206,0.4
Control,0,0.953,0.902,0.982,0.439
MP10,10,1.429,1.021,2.15,0.454
MP10,10,1.123,1.433,1.692,0.924
MP10,10,1.199,1.36,1.064,0.324
MP10,10,1.199,1.011,1.516,1.029
MP10,10,1.144,1.177,1.269,0.359
MP10,10,1.441,1.049,0.679,0.414
MP10,10,1.244,1.071,1.686,0.607
MP10,10,1.086,1.251,0.669,1.208
MP10,10,1.12,1.133,1.182,0.427
MP10,10,1.152,1.238,0.64,0.969
MP100,100,1.606,1.412,1.256,0.265
MP100,100,1.797,1.491,1.595,0.937
MP100,100,1.935,1.465,2.01,0.999
MP100,100,1.722,1.632,0.916,0.701
MP100,100,1.719,1.627,1.273,0.278
MP100,100,2.015,1.859,0.98,1.65
MP100,100,1.883,1.536,1.218,1.899
MP100,100,1.559,1.722,2.518,0.681
MP100,100,2.021,1.719,2.335,0.945
MP100,100,1.645,1.544,0.436,0.608
MP1000,1000,2.6,1.872,2.468,13.809
MP1000,1000,2.419,2.05,0.53,4.658
MP1000,1000,2.64,1.902,0.842,1.173
MP1000,1000,2.312,2.082,4.224,2.05
MP1000,1000,2.229,2.239,2.674,2.297
MP1000,1000,2.258,1.983,1.887,2.023
MP1000,1000,2.587,1.873,1.236,0.852
MP1000,1000,2.466,1.726,3.916,2.917
MP1000,1000,2.613,1.976,2.286,1.105
MP1000,1000,2.736,1.812,0.609,1.592
